,Brand,Processor,RAM,Storage,GPU,ScreenSize,Resolution,BatteryLife,Weight,Operating System,Price,ProcessorBrand,GPUBrand,GPU_Model,GPUreleaseYear
20,Dell,Intel i7,64,256GB SSD,AMD Radeon RX 6600,17.3,1920x1080,6.4,2.48,FreeDOS,3311.34,Intel,AMD Radeon,RX 6600,2021
21,Acer,AMD Ryzen 7,16,1TB SSD,AMD Radeon RX 6600,15.6,1920x1080,11.4,3.05,Linux,1734.32,AMD,AMD Radeon,RX 6600,2021
22,Dell,AMD Ryzen 3,8,1TB HDD,Nvidia GTX 1650,13.3,2560x1440,7.0,1.7,Linux,878.5,AMD,Nvidia,GTX 1650,2019
23,Dell,Intel i5,8,1TB HDD,Nvidia,13.3,2560x1440,11.9,2.53,macOS,830.62,Intel,Nvidia,,2021
25,HP,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 3060,14.0,2560x1440,4.4,1.6,macOS,1504.2,AMD,Nvidia,RTX 3060,2021
26,Asus,AMD Ryzen 9,64,512GB SSD,AMD Radeon RX 6600,13.3,1920x1080,6.2,2.58,macOS,3907.83,AMD,AMD Radeon,RX 6600,2021
27,Microsoft,AMD Ryzen 9,8,1TB SSD,Nvidia,13.3,1366x768,9.9,3.11,Windows,976.43,AMD,Nvidia,,2021
28,Microsoft,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6600,16.0,2560x1440,9.3,2.31,macOS,3286.11,AMD,AMD Radeon,RX 6600,2021
29,Dell,AMD Ryzen 3,4,1TB SSD,Nvidia GTX 1650,15.6,1366x768,5.4,1.95,Windows,831.69,AMD,Nvidia,GTX 1650,2019
30,Samsung,Intel i7,32,1TB SSD,AMD Radeon RX 6800,15.6,2560x1440,11.5,2.32,FreeDOS,2868.04,Intel,AMD Radeon,RX 6800,2020
31,Lenovo,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,11.4,1.7,Linux,3584.25,AMD,Nvidia,RTX 3060,2021
32,HP,Intel i3,64,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,4.9,1.99,Linux,1878.4,Intel,AMD Radeon,RX 6600,2021
33,Dell,AMD Ryzen 5,32,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,9.1,3.01,Windows,1834.21,AMD,Nvidia,GTX 1650,2019
34,MSI,Intel i3,64,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,8.3,3.47,Linux,3390.88,Intel,Nvidia,RTX 2060,2019
35,Acer,AMD Ryzen 5,8,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,6.2,1.68,Linux,1923.02,AMD,AMD Radeon,RX 6800,2020
36,Samsung,AMD Ryzen 9,32,2TB SSD,Nvidia RTX 3060,14.0,1920x1080,5.4,2.6,macOS,2601.32,AMD,Nvidia,RTX 3060,2021
37,Dell,AMD Ryzen 9,32,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,7.2,3.32,FreeDOS,2770.48,AMD,AMD Radeon,RX 6800,2020
38,MSI,Intel i9,16,1TB SSD,Nvidia GTX 1650,13.3,1920x1080,7.5,2.08,macOS,2516.31,Intel,Nvidia,GTX 1650,2019
39,Microsoft,Intel i3,8,2TB SSD,Nvidia RTX 2060,15.6,2560x1440,5.0,3.48,macOS,1083.11,Intel,Nvidia,RTX 2060,2019
40,Samsung,Intel i9,32,1TB SSD,Nvidia,16.0,3840x2160,7.6,1.32,FreeDOS,3323.89,Intel,Nvidia,,2021
41,Asus,AMD Ryzen 5,4,512GB SSD,Nvidia GTX 1650,16.0,3840x2160,11.6,3.38,FreeDOS,1759.04,AMD,Nvidia,GTX 1650,2019
42,Dell,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3060,13.3,1920x1080,8.0,2.69,macOS,990.18,AMD,Nvidia,RTX 3060,2021
44,Acer,Intel i7,16,256GB SSD,Nvidia,16.0,2560x1440,6.6,3.39,Linux,1332.62,Intel,Nvidia,,2019
45,Microsoft,AMD Ryzen 3,32,512GB SSD,Nvidia GTX 1650,16.0,1366x768,11.3,1.83,FreeDOS,1161.02,AMD,Nvidia,GTX 1650,2019
46,Lenovo,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,10.0,2.07,macOS,2256.02,Intel,Nvidia,GTX 1650,2019
47,MSI,Intel i9,16,1TB SSD,Nvidia,17.3,3840x2160,10.3,3.16,Windows,3116.24,Intel,Nvidia,,2019
48,Acer,AMD Ryzen 9,16,2TB SSD,Nvidia,14.0,2560x1440,4.5,2.09,FreeDOS,1748.58,AMD,Nvidia,,2020
49,Asus,Intel i5,64,512GB SSD,Nvidia RTX 3060,14.0,1920x1080,10.3,1.4,Windows,2521.5,Intel,Nvidia,RTX 3060,2021
50,HP,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 2060,16.0,2560x1440,9.6,3.2,FreeDOS,3493.59,AMD,Nvidia,RTX 2060,2019
51,HP,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,17.3,1366x768,11.1,2.2,macOS,1298.68,AMD,Nvidia,RTX 3060,2021
52,HP,AMD Ryzen 5,64,512GB SSD,Nvidia,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87,AMD,Nvidia,,2021
53,Asus,Intel i3,8,256GB SSD,Nvidia GTX 1650,14.0,1366x768,4.8,1.48,macOS,765.95,Intel,Nvidia,GTX 1650,2019
54,Asus,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,16.0,1920x1080,7.5,2.53,Windows,3217.82,AMD,AMD Radeon,RX 6800,2020
55,Lenovo,Intel i3,16,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,4.6,2.32,Windows,1261.48,Intel,AMD Radeon,RX 6800,2020
56,Asus,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,8.2,2.15,FreeDOS,1866.8,AMD,AMD Radeon,RX 6800,2020
57,Lenovo,Intel i7,4,256GB SSD,Nvidia,13.3,3840x2160,7.8,1.23,macOS,1377.57,Intel,Nvidia,,2020
58,Asus,AMD Ryzen 7,8,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,8.1,2.06,macOS,2031.19,AMD,Nvidia,GTX 1650,2019
59,MSI,AMD Ryzen 3,16,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,6.2,1.22,macOS,2139.88,AMD,Nvidia,RTX 3060,2021
60,Lenovo,Intel i3,64,256GB SSD,Nvidia RTX 3080,17.3,2560x1440,5.3,3.22,Linux,2751.07,Intel,Nvidia,RTX 3080,2020
61,Lenovo,Intel i7,4,2TB SSD,Nvidia,16.0,3840x2160,6.2,2.52,Windows,1524.94,Intel,Nvidia,,2019
62,Acer,AMD Ryzen 3,32,2TB SSD,AMD Radeon RX 6800,17.3,2560x1440,6.3,2.12,Windows,1930.67,AMD,AMD Radeon,RX 6800,2020
63,Asus,AMD Ryzen 7,8,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,7.8,1.67,macOS,1267.84,AMD,Nvidia,RTX 3080,2020
65,Dell,AMD Ryzen 3,8,512GB SSD,Nvidia RTX 3060,13.3,2560x1440,4.3,2.5,macOS,951.4,AMD,Nvidia,RTX 3060,2021
66,Samsung,AMD Ryzen 5,8,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,9.4,2.01,Linux,625.2,AMD,AMD Radeon,RX 6800,2020
67,Microsoft,Intel i9,16,512GB SSD,Nvidia GTX 1650,17.3,1920x1080,4.4,1.87,FreeDOS,2113.77,Intel,Nvidia,GTX 1650,2019
68,HP,AMD Ryzen 7,4,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,9.7,1.9,FreeDOS,1310.03,AMD,Nvidia,GTX 1650,2019
69,Microsoft,AMD Ryzen 7,32,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,7.0,1.44,macOS,3286.45,AMD,Nvidia,RTX 3060,2021
70,HP,AMD Ryzen 9,8,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,5.1,1.76,Windows,2080.79,AMD,Nvidia,GTX 1650,2019
71,Asus,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,1920x1080,6.6,3.11,macOS,1278.54,Intel,Nvidia,GTX 1650,2019
72,Razer,Intel i9,16,256GB SSD,Nvidia,14.0,3840x2160,4.6,2.47,FreeDOS,2996.04,Intel,Nvidia,,2020
73,HP,Intel i7,4,1TB HDD,Nvidia GTX 1650,16.0,1366x768,10.1,1.57,Windows,871.35,Intel,Nvidia,GTX 1650,2019
74,Acer,Intel i3,64,512GB SSD,AMD Radeon RX 6600,15.6,2560x1440,11.2,2.55,Linux,2768.44,Intel,AMD Radeon,RX 6600,2021
75,Microsoft,Intel i7,32,256GB SSD,AMD Radeon RX 6800,17.3,3840x2160,4.3,1.72,Linux,3745.39,Intel,AMD Radeon,RX 6800,2020
76,Dell,Intel i9,32,1TB HDD,Nvidia RTX 2060,14.0,3840x2160,6.1,3.06,macOS,3556.24,Intel,Nvidia,RTX 2060,2019
77,Asus,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,7.8,3.06,macOS,782.66,AMD,AMD Radeon,RX 6800,2020
78,Samsung,Intel i3,8,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,7.2,2.54,FreeDOS,863.34,Intel,AMD Radeon,RX 6600,2021
79,MSI,Intel i3,8,512GB SSD,AMD Radeon RX 6600,13.3,3840x2160,5.9,1.33,macOS,1784.77,Intel,AMD Radeon,RX 6600,2021
80,Lenovo,Intel i3,4,1TB SSD,Nvidia RTX 3060,16.0,2560x1440,7.2,3.43,macOS,1164.94,Intel,Nvidia,RTX 3060,2021
81,Microsoft,Intel i3,8,1TB HDD,Nvidia GTX 1650,14.0,3840x2160,9.6,1.83,Windows,1247.91,Intel,Nvidia,GTX 1650,2019
82,Asus,Intel i9,32,512GB SSD,Nvidia RTX 2060,16.0,1366x768,8.3,2.8,Windows,2480.96,Intel,Nvidia,RTX 2060,2019
83,Acer,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 2060,13.3,1366x768,10.7,1.84,macOS,1159.62,AMD,Nvidia,RTX 2060,2019
84,Asus,AMD Ryzen 7,16,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,4.7,1.46,Windows,1947.07,AMD,Nvidia,RTX 3080,2020
85,Microsoft,Intel i7,32,2TB SSD,AMD Radeon RX 6600,16.0,1920x1080,11.8,1.48,FreeDOS,2113.62,Intel,AMD Radeon,RX 6600,2021
86,Acer,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 2060,17.3,1366x768,9.9,1.69,Windows,1486.61,AMD,Nvidia,RTX 2060,2019
88,Lenovo,AMD Ryzen 5,4,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.2,3.02,FreeDOS,691.35,AMD,AMD Radeon,RX 6600,2021
89,Asus,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3080,13.3,1366x768,8.5,1.42,FreeDOS,789.61,AMD,Nvidia,RTX 3080,2020
90,Razer,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,4.1,1.44,Linux,2312.14,AMD,AMD Radeon,RX 6600,2021
91,Dell,AMD Ryzen 5,32,2TB SSD,Nvidia RTX 3060,16.0,1920x1080,4.2,1.52,macOS,1748.97,AMD,Nvidia,RTX 3060,2021
93,Dell,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49,AMD,Nvidia,RTX 3060,2021
94,Asus,Intel i5,16,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,6.4,3.31,macOS,2120.59,Intel,Nvidia,RTX 3060,2021
96,Samsung,Intel i3,8,256GB SSD,Nvidia RTX 3080,17.3,1920x1080,10.1,2.45,Linux,972.19,Intel,Nvidia,RTX 3080,2020
97,Lenovo,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,14.0,2560x1440,11.5,1.51,macOS,3038.1,AMD,AMD Radeon,RX 6800,2020
98,Asus,AMD Ryzen 7,64,1TB SSD,Nvidia RTX 3080,17.3,1366x768,7.9,1.77,Windows,2793.54,AMD,Nvidia,RTX 3080,2020
99,Asus,Intel i7,64,256GB SSD,Nvidia RTX 3060,15.6,1366x768,10.5,2.43,Windows,2821.78,Intel,Nvidia,RTX 3060,2021
101,Dell,AMD Ryzen 5,4,1TB SSD,Nvidia,15.6,2560x1440,11.8,3.45,FreeDOS,962.25,AMD,Nvidia,,2020
102,Razer,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,10.7,1.7,macOS,5173.63,AMD,Nvidia,RTX 3080,2020
103,Dell,Intel i5,64,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,10.1,1.78,FreeDOS,2240.32,Intel,AMD Radeon,RX 6600,2021
104,MSI,AMD Ryzen 3,16,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,10.8,2.82,Windows,2354.8,AMD,AMD Radeon,RX 6800,2020
105,Acer,Intel i7,8,256GB SSD,Nvidia RTX 3080,15.6,3840x2160,5.8,1.52,macOS,2358.06,Intel,Nvidia,RTX 3080,2020
106,HP,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.7,1.48,Linux,4813.04,AMD,AMD Radeon,RX 6800,2020
107,MSI,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,10.8,3.22,FreeDOS,2792.77,AMD,AMD Radeon,RX 6800,2020
108,Microsoft,Intel i3,32,1TB SSD,Nvidia RTX 3060,17.3,3840x2160,4.5,2.95,Linux,2567.52,Intel,Nvidia,RTX 3060,2021
109,HP,Intel i3,8,256GB SSD,Nvidia RTX 3060,17.3,1920x1080,5.3,1.97,FreeDOS,914.84,Intel,Nvidia,RTX 3060,2021
110,Microsoft,Intel i7,4,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,11.0,2.44,Windows,1602.39,Intel,Nvidia,RTX 3080,2020
111,Microsoft,AMD Ryzen 9,64,256GB SSD,Nvidia,17.3,1920x1080,9.5,2.99,Linux,2922.91,AMD,Nvidia,,2020
112,HP,AMD Ryzen 3,8,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,11.0,2.82,FreeDOS,873.57,AMD,Nvidia,GTX 1650,2019
113,MSI,Intel i3,4,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,5.5,1.38,FreeDOS,1119.51,Intel,Nvidia,RTX 2060,2019
114,Lenovo,Intel i9,32,256GB SSD,Nvidia GTX 1650,15.6,3840x2160,9.2,1.61,FreeDOS,4857.55,Intel,Nvidia,GTX 1650,2019
115,MSI,AMD Ryzen 5,8,1TB HDD,Nvidia,16.0,3840x2160,5.8,2.48,macOS,1407.17,AMD,Nvidia,,2021
116,Lenovo,Intel i7,4,2TB SSD,AMD Radeon RX 6800,16.0,1366x768,5.4,1.75,Windows,938.96,Intel,AMD Radeon,RX 6800,2020
117,Asus,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 3060,17.3,3840x2160,9.2,3.3,Linux,1565.19,AMD,Nvidia,RTX 3060,2021
118,Lenovo,AMD Ryzen 3,64,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,10.9,1.99,FreeDOS,3422.47,AMD,AMD Radeon,RX 6600,2021
119,Samsung,AMD Ryzen 3,64,512GB SSD,Nvidia GTX 1650,14.0,2560x1440,7.5,1.91,Linux,2478.83,AMD,Nvidia,GTX 1650,2019
120,Razer,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 3060,16.0,1920x1080,10.5,1.88,FreeDOS,3180.88,AMD,Nvidia,RTX 3060,2021
121,Microsoft,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,5.7,2.82,Linux,1696.83,AMD,AMD Radeon,RX 6800,2020
122,Asus,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,15.6,3840x2160,10.6,1.81,FreeDOS,2687.06,AMD,Nvidia,RTX 3060,2021
123,HP,Intel i3,4,1TB HDD,AMD Radeon RX 6600,14.0,2560x1440,4.9,2.04,macOS,922.21,Intel,AMD Radeon,RX 6600,2021
124,Razer,Intel i3,32,1TB HDD,AMD Radeon RX 6600,14.0,1920x1080,4.9,3.2,FreeDOS,1489.43,Intel,AMD Radeon,RX 6600,2021
125,Razer,AMD Ryzen 7,64,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,10.1,2.8,Linux,5766.77,AMD,AMD Radeon,RX 6800,2020
126,Asus,AMD Ryzen 3,32,1TB SSD,Nvidia RTX 3080,16.0,3840x2160,4.4,1.75,Windows,2490.41,AMD,Nvidia,RTX 3080,2020
127,MSI,Intel i9,64,512GB SSD,Nvidia,17.3,2560x1440,4.7,1.38,FreeDOS,4705.97,Intel,Nvidia,,2019
128,Lenovo,Intel i7,64,512GB SSD,AMD Radeon RX 6800,16.0,2560x1440,8.0,2.14,macOS,4036.38,Intel,AMD Radeon,RX 6800,2020
129,MSI,AMD Ryzen 3,4,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,6.5,1.89,Windows,1261.77,AMD,Nvidia,GTX 1650,2019
130,Samsung,AMD Ryzen 5,8,1TB HDD,Integrated,17.3,1366x768,11.0,2.66,Linux,620.44,AMD,Integrata,,2021
131,HP,Intel i5,32,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,7.4,2.7,Linux,2500.94,Intel,Nvidia,GTX 1650,2019
132,Lenovo,Intel i9,32,2TB SSD,Nvidia RTX 2060,15.6,1366x768,10.9,3.17,Windows,2431.14,Intel,Nvidia,RTX 2060,2019
133,Asus,Intel i5,4,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,11.5,3.43,macOS,1217.24,Intel,Nvidia,RTX 3080,2020
134,MSI,Intel i5,4,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,5.8,2.4,Linux,954.65,Intel,AMD Radeon,RX 6800,2020
135,HP,AMD Ryzen 5,8,1TB SSD,Nvidia GTX 1650,17.3,1920x1080,5.7,3.07,FreeDOS,1250.43,AMD,Nvidia,GTX 1650,2019
136,Acer,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3060,17.3,2560x1440,6.3,1.37,Windows,3401.59,AMD,Nvidia,RTX 3060,2021
137,HP,AMD Ryzen 7,64,1TB SSD,Nvidia,13.3,1920x1080,4.3,1.31,FreeDOS,2041.37,AMD,Nvidia,,2021
138,Lenovo,Intel i9,64,1TB SSD,Nvidia RTX 3080,13.3,2560x1440,10.3,2.99,macOS,4995.89,Intel,Nvidia,RTX 3080,2020
139,HP,AMD Ryzen 7,4,1TB HDD,Nvidia GTX 1650,15.6,1366x768,7.1,2.63,macOS,777.38,AMD,Nvidia,GTX 1650,2019
140,Acer,Intel i5,8,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,11.7,3.27,Windows,1969.19,Intel,AMD Radeon,RX 6800,2020
142,Microsoft,Intel i9,16,1TB HDD,Nvidia RTX 3060,15.6,1920x1080,11.3,1.81,macOS,1776.13,Intel,Nvidia,RTX 3060,2021
143,Microsoft,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,11.8,1.28,Linux,2721.4,AMD,Nvidia,RTX 3080,2020
144,HP,AMD Ryzen 5,16,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,8.9,1.75,Windows,1016.16,AMD,AMD Radeon,RX 6600,2021
145,Acer,AMD Ryzen 3,4,1TB SSD,Integrated,15.6,1920x1080,7.8,1.66,FreeDOS,590.45,AMD,Integrata,,2021
146,Razer,Intel i9,8,1TB SSD,Nvidia RTX 2060,15.6,1920x1080,8.7,2.78,Linux,2549.6,Intel,Nvidia,RTX 2060,2019
147,Asus,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 2060,17.3,1920x1080,11.9,1.63,FreeDOS,1609.14,AMD,Nvidia,RTX 2060,2019
148,Acer,AMD Ryzen 7,64,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,6.5,2.09,Linux,5483.75,AMD,AMD Radeon,RX 6800,2020
149,Dell,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3060,15.6,1366x768,5.5,1.28,Linux,728.2,AMD,Nvidia,RTX 3060,2021
150,Acer,Intel i3,4,1TB SSD,Integrated,13.3,1366x768,8.9,3.45,Windows,545.58,Intel,Integrata,,2019
152,Razer,Intel i3,8,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,11.7,1.76,FreeDOS,1641.64,Intel,AMD Radeon,RX 6600,2021
153,Razer,Intel i9,16,512GB SSD,Nvidia RTX 3080,17.3,1920x1080,4.5,2.85,FreeDOS,3066.57,Intel,Nvidia,RTX 3080,2020
154,Samsung,AMD Ryzen 9,32,512GB SSD,Nvidia,15.6,1366x768,6.4,3.01,Linux,1735.86,AMD,Nvidia,,2019
155,Asus,AMD Ryzen 9,8,512GB SSD,Nvidia RTX 3080,14.0,3840x2160,8.0,1.77,Windows,2895.86,AMD,Nvidia,RTX 3080,2020
156,Samsung,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6600,14.0,3840x2160,4.4,2.52,macOS,2072.73,AMD,AMD Radeon,RX 6600,2021
157,Dell,AMD Ryzen 7,16,2TB SSD,Nvidia GTX 1650,14.0,1366x768,4.6,3.22,FreeDOS,1178.4,AMD,Nvidia,GTX 1650,2019
159,Microsoft,AMD Ryzen 5,64,512GB SSD,Nvidia GTX 1650,17.3,3840x2160,11.4,2.12,Windows,4348.8,AMD,Nvidia,GTX 1650,2019
160,Samsung,AMD Ryzen 3,4,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,6.6,2.82,macOS,734.88,AMD,Nvidia,GTX 1650,2019
161,Razer,Intel i5,4,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,6.6,2.83,Windows,1369.42,Intel,AMD Radeon,RX 6800,2020
162,Acer,AMD Ryzen 3,64,1TB SSD,Nvidia,15.6,3840x2160,7.6,1.8,FreeDOS,2531.45,AMD,Nvidia,,2021
163,Samsung,Intel i7,16,2TB SSD,Nvidia RTX 2060,17.3,2560x1440,10.4,1.42,Windows,2018.16,Intel,Nvidia,RTX 2060,2019
164,Acer,Intel i9,32,512GB SSD,Nvidia,15.6,1366x768,11.6,2.55,Windows,1633.4,Intel,Nvidia,,2020
165,Lenovo,AMD Ryzen 7,4,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,10.4,3.1,Windows,1528.92,AMD,Nvidia,GTX 1650,2019
166,Microsoft,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3080,13.3,3840x2160,7.9,1.85,Windows,3845.91,AMD,Nvidia,RTX 3080,2020
170,Razer,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 3060,16.0,2560x1440,5.8,1.86,FreeDOS,2475.0,AMD,Nvidia,RTX 3060,2021
171,Microsoft,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 2060,13.3,3840x2160,12.0,2.5,Windows,2631.83,AMD,Nvidia,RTX 2060,2019
172,Samsung,Intel i3,4,2TB SSD,Integrated,17.3,1920x1080,11.5,3.29,Windows,462.82,Intel,Integrata,,2020
173,Dell,AMD Ryzen 7,16,2TB SSD,AMD Radeon RX 6600,13.3,1366x768,9.4,2.42,FreeDOS,1381.3,AMD,AMD Radeon,RX 6600,2021
174,Razer,AMD Ryzen 9,4,512GB SSD,AMD Radeon RX 6600,16.0,1920x1080,6.5,2.32,macOS,2225.01,AMD,AMD Radeon,RX 6600,2021
175,Acer,Intel i9,64,1TB SSD,Nvidia,15.6,1920x1080,8.3,3.06,macOS,2970.68,Intel,Nvidia,,2020
176,Asus,AMD Ryzen 3,64,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.1,3.26,FreeDOS,1697.07,AMD,AMD Radeon,RX 6600,2021
177,Acer,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3060,17.3,1920x1080,7.1,1.41,FreeDOS,1321.09,AMD,Nvidia,RTX 3060,2021
178,Dell,AMD Ryzen 9,32,256GB SSD,AMD Radeon RX 6800,16.0,2560x1440,6.8,2.32,Linux,3739.27,AMD,AMD Radeon,RX 6800,2020
180,Samsung,AMD Ryzen 5,64,2TB SSD,Nvidia GTX 1650,13.3,1366x768,10.9,2.33,Windows,2105.65,AMD,Nvidia,GTX 1650,2019
181,HP,AMD Ryzen 9,8,256GB SSD,Nvidia RTX 3060,14.0,1366x768,11.8,3.28,Linux,1434.82,AMD,Nvidia,RTX 3060,2021
182,MSI,AMD Ryzen 7,4,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,10.5,1.33,FreeDOS,2551.92,AMD,Nvidia,GTX 1650,2019
